,id,precio,geom,numfotos,planta,precioinfo,tipo_propiedad,tamaño_m2,es_exterior,n_habitaciones,n_baños,direccion,provincia,municipio,distrito,pais,barrio,estado,tiene_ascensor,parking,precio_m2,tipo_detalle,texto_sugerido,codigo_distrito
1035,107603703,2000000.0,0101000020E610000059C8B7D2C66C0DC01BE61599CA354440,7,3.0,"{'price': {'amount': 2000000.0, 'currencySuffix': '€'}}",flat,200.0,True,3,4,calle de O'Donnell,Madrid,Madrid,Retiro,es,Ibiza,good,True,,10000.0,{'typology': 'flat'},,
1036,110013321,1038000.0,0101000020E61000000C2252D32E660DC0F54311F7FD354440,20,3.0,"{'price': {'amount': 1038000.0, 'currencySuffix': '€'}}",flat,109.0,True,3,2,calle de Fernán González,Madrid,Madrid,Retiro,es,Ibiza,good,True,,9523.0,{'typology': 'flat'},,
1037,109636997,870000.0,0101000020E610000068435953B44D0DC04AE2F615B5344440,13,1.0,"{'price': {'amount': 870000.0, 'currencySuffix': '€'}}",flat,165.0,True,4,3,calle de Sirio,Madrid,Madrid,Retiro,es,Estrella,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5273.0,{'typology': 'flat'},,
1038,109491743,1040000.0,0101000020E6100000199128B4AC7B0DC08656276728344440,18,4.0,"{'price': {'amount': 1040000.0, 'currencySuffix': '€'}}",flat,150.0,True,3,3,paseo de la Reina Cristina,Madrid,Madrid,Retiro,es,Jerónimos,good,True,,6933.0,{'typology': 'flat'},,
1039,109905572,900000.0,0101000020E610000058D00F7E3D6A0DC06D16D45C13344440,40,4.0,"{'price': {'amount': 900000.0, 'currencySuffix': '€'}}",flat,170.0,True,3,2,plaza de los Reyes Magos,Madrid,Madrid,Retiro,es,Niño Jesús,good,True,,5294.0,{'typology': 'flat'},,
1040,110400300,425000.0,0101000020E6100000461CFC0E8F6E0DC06A94E46F31354440,9,7.0,"{'price': {'amount': 425000.0, 'currencySuffix': '€'}}",flat,44.0,False,2,1,AV MENENDEZ PELAYO,Madrid,Madrid,Retiro,es,Ibiza,good,True,,9659.0,{'typology': 'flat'},,
1041,108701442,1100000.0,0101000020E61000007E569929AD6F0DC014FEB1B563344440,3,1.0,"{'price': {'amount': 1100000.0, 'currencySuffix': '€'}}",flat,140.0,False,3,3,calle del Poeta Esteban de Villegas,Madrid,Madrid,Retiro,es,Jerónimos,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",7857.0,{'typology': 'flat'},,
1042,110394330,1228000.0,0101000020E610000012651470746A0DC0EC2C1FEE8F334440,4,4.0,"{'price': {'amount': 1228000.0, 'currencySuffix': '€'}}",flat,173.0,True,4,2,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,good,True,"{'hasParkingSpace': True, 'parkingSpacePrice': 25000.0, 'isParkingSpaceIncludedInPrice': False}",7098.0,{'typology': 'flat'},,
1043,110016926,1090000.0,0101000020E610000063CF431262630DC06F46CD57C9354440,2,5.0,"{'price': {'amount': 1090000.0, 'currencySuffix': '€'}}",flat,108.0,True,4,1,Barrio Ibiza,Madrid,Madrid,Retiro,es,Ibiza,renew,True,,10093.0,{'typology': 'flat'},,
1044,109722632,4350000.0,0101000020E6100000B482F0B270830DC0A5BDC11726354440,13,7.0,"{'price': {'amount': 4350000.0, 'currencySuffix': '€'}}",flat,342.0,True,3,4,calle de Casado del Alisal,Madrid,Madrid,Retiro,es,Jerónimos,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",12719.0,{'typology': 'flat'},,
